Latitude, Longitude, Depth (km), Magnitude, Origin-time (UTC)
-43.0695, 171.058, 6.99961, 0.0, 2009-02-15T14:27:28.578600Z
-43.0814, 171.052, 7.99681, 0.0, 2009-02-15T15:11:18.010200Z
-43.2581, 170.86, 13.7454, 0.0, 2009-02-15T18:23:11.340000Z
-43.1242, 171.074, 1.9998, 0.0, 2009-02-16T00:11:37.648600Z
-43.1829, 170.839, 7.0030600000000005, 0.0, 2009-02-16T02:23:36.919800Z
-42.9863, 171.431, 13.0725, 0.0, 2009-02-16T11:45:27.774500Z
-43.0308, 171.042, 1.7272100000000001, 0.0, 2009-02-16T13:41:21.139500Z
-42.9519, 171.448, 1.00951, 0.0, 2009-02-16T20:33:44.341300Z
-43.0098, 171.105, 6.99961, 0.0, 2009-02-17T05:24:10.037200Z
-43.0983, 170.755, 10.405299999999999, 0.0, 2009-02-17T13:12:01.800220Z
-43.0613, 171.409, 10.319, 0.0, 2009-02-17T17:38:04.970290Z
-43.1045, 170.761, 8.00716, 0.0, 2009-02-18T18:11:10.163300Z
-43.1299, 170.756, 10.3811, 0.0, 2009-02-19T05:59:31.309300Z
-43.2132, 171.05, 14.9945, 0.0, 2009-02-19T13:30:30.544300Z
-43.185, 170.725, 11.958, 0.0, 2009-02-19T16:44:19.582500Z
-43.4856, 170.391, 3.00391, 0.0, 2009-02-19T21:58:57.895500Z
-43.6119, 170.616, 13.0001, 0.0, 2009-02-22T08:22:03.061760Z
-43.0744, 171.044, 6.18184, 0.0, 2009-02-22T15:51:49.736800Z
-43.5758, 170.18, 10.0016, 0.0, 2009-02-22T18:51:31.674800Z
-43.0444, 171.138, 0.995703, 0.0, 2009-02-23T07:06:00.400995Z
-43.5669, 169.969, 7.934699999999999, 0.0, 2009-02-23T14:26:46.102300Z
-43.5375, 170.273, 9.00091, 0.0, 2009-02-23T20:05:46.648600Z
-43.1166, 170.93, 16.2436, 0.0, 2009-02-24T03:48:56.973300Z
-43.1272, 171.069, 0.995703, 0.0, 2009-02-24T06:15:42.625800Z
-43.1006, 170.981, 7.99681, 0.0, 2009-02-24T07:54:54.010200Z
-43.5062, 170.696, 15.6259, 0.0, 2009-02-24T19:17:23.545900Z
-43.4896, 170.691, 13.9904, 0.0, 2009-02-24T19:43:19.292100Z
-43.1092, 170.748, 11.5094, 0.0, 2009-02-24T22:50:38.917000Z
-43.5905, 170.33, 9.99811, 0.0, 2009-02-25T08:32:29.648400Z
-43.1374, 170.906, 7.810479999999999, 0.0, 2009-02-25T09:01:39.898000Z
-43.4697, 171.503, 18.993599999999997, 0.0, 2009-02-25T17:59:24.806600Z
-43.4475, 171.492, 21.5815, 0.0, 2009-02-25T18:26:31.057100Z
-43.454, 171.498, 18.9867, 0.0, 2009-02-25T19:08:55.260400Z
-43.4999, 170.307, 9.18379, 0.0, 2009-02-25T21:42:15.452100Z
-43.3832, 170.939, 11.8476, 0.0, 2009-02-26T10:06:00.831980Z
-43.3853, 170.07, 2.9763, 0.0, 2009-02-26T13:38:12.642900Z
-43.5179, 169.935, 3.10052, 0.0, 2009-02-26T14:08:42.309500Z
-43.5183, 169.955, 2.81758, 0.0, 2009-02-26T15:18:12.512600Z
-43.4368, 171.496, 15.011700000000001, 0.0, 2009-02-26T16:28:29.648100Z
-43.1762, 170.807, 6.50964, 0.0, 2009-02-27T08:15:44.601100Z
-43.1929, 170.812, 0.022656199999999998, 0.0, 2009-02-28T06:04:27.293500Z
-43.5745, 169.99, 7.98646, 0.0, 2009-02-28T15:53:41.871700Z
-43.2187, 171.43, 13.3589, 0.0, 2009-02-28T21:12:56.749800Z
-43.5814, 169.962, 9.00091, 0.0, 2009-03-01T19:15:51.388700Z
-43.5263, 170.278, 7.99681, 0.0, 2009-03-01T22:37:09.096760Z
-43.3758, 170.789, 10.9229, 0.0, 2009-03-02T02:45:49.934700Z
-43.9115, 169.853, 8.00026, 0.0, 2009-03-02T11:46:25.871400Z
-43.5243, 170.278, 7.57585, 0.0, 2009-03-02T15:56:37.761400Z
-43.2466, 170.764, 9.218290000000001, 0.0, 2009-03-02T17:27:06.959480Z
